year,epi_week,url_www_mirror,note
2025,32,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-32-2025.pdf,extracted (full build)
2025,33,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-33-2025.pdf,extracted (full build)
2025,34,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-34-2025.pdf,extracted (full build)
2025,35,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly Report-35-2025.pdf,extracted (full build)
2025,36,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-36-2025.pdf,extracted (full build)
2025,37,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-37-2025.pdf,extracted (full build)
2025,38,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-38-2025.pdf,extracted (full build)
2025,39,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-39-2025.pdf,extracted (full build)
2025,40,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-40-2025.pdf,extracted (feasibility-check sample)
2025,41,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-41-2025.pdf,extracted (full build)
2025,42,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-42-2025.pdf,extracted (full build)
2025,43,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-43-2025.pdf,extracted (full build)
2025,44,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly_Report-44-2025.pdf,extracted (full build)
2025,45,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly Report-45-2025.pdf,extracted (full build)
2025,46,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly Report-46-2025.pdf,extracted (full build)
2025,47,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly_Report-47-2025.pdf,extracted (full build)
2025,48,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly_Report-48-2025.pdf,extracted (full build)
2025,49,https://www.nih.org.pk/wp-content/uploads/2025/12/Weekly Report-49-2025.pdf,extracted (full build)
2025,50,https://www.nih.org.pk/wp-content/uploads/2026/01/IDSRS Weekly Report-50-2025.pdf,extracted (full build)
2025,51,https://www.nih.org.pk/wp-content/uploads/2026/01/IDSRS Weekly Report-51-2025-updated (1).pdf,extracted (full build)
2025,52,https://www.nih.org.pk/wp-content/uploads/2026/01/Weekly_Report-52-2025.pdf,extracted (full build)
2026,1,https://www.nih.org.pk/wp-content/uploads/2026/01/IDSRS Weekly Report-01-2026-NEW.pdf,extracted (full build)
2026,2,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-02-2026-updated (1).pdf,extracted (full build)
2026,3,https://www.nih.org.pk/wp-content/uploads/2026/02/Weekly Report-03-2026.pdf,extracted (full build)
2026,4,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-04-2026-updated.pdf,extracted (full build)
2026,5,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-05-2026.pdf,extracted (full build)
2026,6,https://www.nih.org.pk/wp-content/uploads/2026/02/IDSRS Weekly Report-06-2026 (1).pdf,extracted (full build)
2026,7,https://www.nih.org.pk/wp-content/uploads/2026/03/Weekly Report-07-2026.pdf,extracted (full build)
2026,8,https://www.nih.org.pk/wp-content/uploads/2026/03/IDSRS Weekly Report-08-2026-updated-NG.pdf,extracted (full build)
2026,9,https://www.nih.org.pk/wp-content/uploads/2026/03/IDSRS Weekly Report-09-2026.pdf,extracted (full build)
2026,10,https://www.nih.org.pk/wp-content/uploads/2026/03/IDSRS Weekly Report-10-2026.pdf,extracted (full build)
2026,11,https://www.nih.org.pk/wp-content/uploads/2026/04/IDSRS Weekly Report 11-2026.pdf,extracted (full build)
2026,12,https://www.nih.org.pk/wp-content/uploads/2026/04/Weekly Report-12-2026.pdf,extracted (full build)
2026,13,https://www.nih.org.pk/wp-content/uploads/2026/04/Weekly Report-13-2026.pdf,extracted (full build)
2026,14,https://www.nih.org.pk/wp-content/uploads/2026/05/Weekly Report-14-2026.pdf,extracted (full build)
2026,15,https://www.nih.org.pk/wp-content/uploads/2026/05/Weekly Report-15-2026 .pdf,extracted (full build)
2026,16,https://www.nih.org.pk/wp-content/uploads/2026/05/IDSRS Weekly Report-16-2026 - NG (1).pdf,extracted (full build)
2026,17,https://www.nih.org.pk/wp-content/uploads/2026/05/Weekly Report-17-2026.pdf,extracted (full build)
2026,18,https://www.nih.org.pk/wp-content/uploads/2026/05/IDSRS Weekly Report-18-NG (1).pdf,extracted (full build)
2026,19,https://www.nih.org.pk/wp-content/uploads/2026/06/IDSRS Weekly Report-19-2026-NG reviewed.pdf,extracted (full build)
2026,20,https://www.nih.org.pk/wp-content/uploads/2026/06/Weekly Report-20-2026.pdf,extracted (full build)
2026,21,https://www.nih.org.pk/wp-content/uploads/2026/06/IDSRS Weekly Report-21-2026 (1).pdf,extracted (full build)
2026,22,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-22-2026.pdf,extracted (full build)
2026,23,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-23-2026.pdf,extracted (full build)
2026,24,https://www.nih.org.pk/wp-content/uploads/2026/07/Weekly Report-24-2026 (1).pdf,extracted (full build)
2026,25,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-25-2026 (1).pdf,extracted (full build)
2026,26,https://www.nih.org.pk/wp-content/uploads/2026/07/Public Health Bulletin IDSRS Weekly Report-26-2026.pdf,extracted (feasibility-check sample)
2026,27,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-27-NG.pdf,extracted (full build)
2026,28,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-28-2026 NG.pdf,extracted (full build)
2023,17,,not published by NIH - genuinely absent from source (confirmed via repeated index fetches)
2023,18,,not published by NIH - genuinely absent from source (confirmed via repeated index fetches)
2023,19,,not published by NIH - genuinely absent from source (confirmed via repeated index fetches)
2023,20,,not published by NIH - genuinely absent from source (confirmed via repeated index fetches)
2023,21,,not published by NIH - genuinely absent from source (confirmed via repeated index fetches)
