mechanism,rate,condition,horizon,n_districts,zero_MAE,aware_MAE,delta_zero_minus_aware,share_districts_aware_better
value_dependent,0.2,Malaria,1,37,29.81425675675676,29.60682432432433,0.2074324324324324,0.43243243243243246
value_dependent,0.2,Malaria,2,37,34.7102027027027,34.44608108108108,0.2641216216216216,0.6216216216216216
value_dependent,0.2,Malaria,4,37,37.65743243243244,37.317770270270266,0.3396621621621621,0.6486486486486487
value_dependent,0.2,Typhoid,1,37,6.397162162162162,6.3438513513513515,0.05331081081081078,0.4594594594594595
value_dependent,0.2,Typhoid,2,37,6.628243243243244,6.526621621621622,0.1016216216216216,0.43243243243243246
value_dependent,0.2,Typhoid,4,37,7.041148648648648,6.834797297297297,0.20635135135135135,0.5405405405405406
value_dependent,0.4,AD_noncholera,1,37,204.6239864864865,193.85263513513516,10.771351351351353,0.8918918918918919
value_dependent,0.4,AD_noncholera,2,37,246.61405405405404,227.72844594594594,18.88560810810811,1.0
value_dependent,0.4,AD_noncholera,4,37,269.4947297297297,243.39067567567568,26.104054054054053,0.972972972972973
value_dependent,0.4,ALRI_u5,1,37,9.601066856330014,9.22174253200569,0.3793243243243242,0.5945945945945946
value_dependent,0.4,ALRI_u5,2,37,11.207147937411095,10.437080369843528,0.7700675675675673,0.6756756756756757
value_dependent,0.4,ALRI_u5,4,37,11.539310099573258,10.639377667140826,0.8999324324324324,0.6216216216216216
value_dependent,0.4,Bloody_diarrhoea,1,37,12.55797652916074,12.374530583214794,0.1834459459459459,0.7297297297297297
value_dependent,0.4,Bloody_diarrhoea,2,37,13.726219772403983,13.424598150782362,0.30162162162162165,0.7027027027027027
value_dependent,0.4,Bloody_diarrhoea,4,37,14.193179231863445,13.7274359886202,0.4657432432432434,0.7027027027027027
value_dependent,0.4,ILI,1,37,35.23884068278805,34.11593527738265,1.1229054054054053,0.4864864864864865
value_dependent,0.4,ILI,2,37,40.13992176386913,38.447649359886206,1.69227240398293,0.5135135135135135
value_dependent,0.4,ILI,4,37,43.51777027027027,43.052812944523474,0.4649573257467998,0.4864864864864865
value_dependent,0.4,Malaria,1,37,29.866756756756754,29.612905405405407,0.25385135135135134,0.7027027027027027
value_dependent,0.4,Malaria,2,37,35.02662162162162,34.37554054054054,0.6510810810810812,0.7567567567567568
value_dependent,0.4,Malaria,4,37,38.08060810810811,37.26222972972973,0.8183783783783785,0.7297297297297297
value_dependent,0.4,Typhoid,1,37,6.504729729729729,6.355945945945946,0.1487837837837837,0.5135135135135135
value_dependent,0.4,Typhoid,2,37,6.819797297297297,6.538648648648649,0.28114864864864864,0.5945945945945946
value_dependent,0.4,Typhoid,4,37,7.203378378378379,6.76972972972973,0.4336486486486486,0.6756756756756757
value_dependent,0.6,AD_noncholera,1,37,211.02851351351353,195.90182432432434,15.126689189189193,0.9459459459459459
value_dependent,0.6,AD_noncholera,2,37,262.02364864864865,231.6175,30.406148648648646,1.0
value_dependent,0.6,AD_noncholera,4,37,289.79844594594596,244.06013513513514,45.738310810810816,1.0
value_dependent,0.6,ALRI_u5,1,37,9.82478307254623,9.298769559032717,0.5260135135135133,0.6486486486486487
value_dependent,0.6,ALRI_u5,2,37,11.6525533428165,10.560593883357042,1.0919594594594593,0.7567567567567568
value_dependent,0.6,ALRI_u5,4,37,11.818229018492177,10.372350640113797,1.4458783783783784,0.7027027027027027
value_dependent,0.6,Bloody_diarrhoea,1,37,12.738584637268849,12.422908961593174,0.3156756756756756,0.7567567567567568
value_dependent,0.6,Bloody_diarrhoea,2,37,13.990679231863442,13.44601706970128,0.5446621621621621,0.7837837837837838
value_dependent,0.6,Bloody_diarrhoea,4,37,14.555881934566145,13.704733285917495,0.8511486486486487,0.8378378378378378
value_dependent,0.6,ILI,1,37,36.011543385490754,34.706813655761025,1.3047297297297298,0.5675675675675675
value_dependent,0.6,ILI,2,37,41.73539473684211,39.22715149359886,2.508243243243242,0.5675675675675675
value_dependent,0.6,ILI,4,37,44.09127311522049,42.55478662873399,1.5364864864864867,0.5675675675675675
value_dependent,0.6,Malaria,1,37,30.248445945945942,29.637702702702704,0.6107432432432431,0.7297297297297297
value_dependent,0.6,Malaria,2,37,35.81067567567568,34.40777027027027,1.4029054054054055,0.7837837837837838
value_dependent,0.6,Malaria,4,37,39.20277027027027,37.244932432432435,1.9578378378378378,0.7297297297297297
value_dependent,0.6,Typhoid,1,37,6.592027027027027,6.389121621621622,0.2029054054054053,0.5675675675675675
value_dependent,0.6,Typhoid,2,37,6.980135135135135,6.5781081081081085,0.402027027027027,0.6486486486486487
value_dependent,0.6,Typhoid,4,37,7.364932432432433,6.762162162162162,0.6027702702702703,0.7027027027027027
value_dependent,0.8,AD_noncholera,1,37,217.96486486486486,200.24614864864864,17.71871621621622,1.0
value_dependent,0.8,AD_noncholera,2,37,274.4879054054054,238.85574324324324,35.63216216216216,1.0
value_dependent,0.8,AD_noncholera,4,37,312.3550675675676,250.4568918918919,61.89817567567568,1.0
value_dependent,0.8,ALRI_u5,1,37,9.9875533428165,9.56228307254623,0.4252702702702702,0.7027027027027027
value_dependent,0.8,ALRI_u5,2,37,12.021674964438123,11.131337126600284,0.8903378378378377,0.7297297297297297
value_dependent,0.8,ALRI_u5,4,37,12.332620910384067,10.916134423897581,1.4164864864864866,0.7027027027027027
value_dependent,0.8,Bloody_diarrhoea,1,37,12.921490042674254,12.595814366998576,0.3256756756756756,0.7837837837837838
